member_id,first_name,last_name,membership_status,tier_name,member_since
8,Rustin,Meyer,Inactive,Gold,2010-01-03
102,Merissa,Yeowell,Pending,Silver,2010-01-03
454,Olivero,Millett,Active,Gold,2010-02-08
121,Durward,Ewbank,Pending,Gold,2010-02-11
783,Caresa,"de Mendoza",Inactive,Gold,2010-02-15
450,Shellysheldon,Goodram,Inactive,Gold,2010-02-20
955,Kanya,Vaneev,Active,Platinum,2010-02-20
971,Boy,Jakeman,Inactive,Silver,2010-02-28
87,Donella,Pidgeon,Inactive,Silver,2010-03-09
488,Sheela,Fruen,Pending,Gold,2010-03-10
