member_id,first_name,last_name,age,email,member_since,membership_status,membership_level
1,Georgianne,Rissen,74,grissen0@psu.edu,2019/10/05,Active,Silver
2,Bobine,Lismer,80,blismer1@google.com.hk,2026/06/25,Inactive,Platinum
3,Eldin,Loadman,70,eloadman2@behance.net,2010/10/15,Inactive,Platinum
4,Gage,Nore,47,gnore3@umich.edu,2017/06/24,Pending,Silver
5,Timofei,Bassick,31,tbassick4@t-online.de,2015/11/19,Pending,Platinum
6,Edik,Densell,23,edensell5@photobucket.com,2014/04/09,Active,Platinum
7,Kristi,Strippel,54,kstrippel6@mayoclinic.com,2019/02/28,Pending,Silver
8,Rustin,Meyer,55,rmeyer7@hubpages.com,2010/01/03,Inactive,Gold
9,Ariella,Baumer,71,abaumer8@mlb.com,2013/04/05,Inactive,Platinum
10,Janie,di Rocca,83,jdirocca9@usatoday.com,2013/06/27,Inactive,Silver
11,Aryn,Ridde,44,ariddea@dedecms.com,2010/07/13,Active,Platinum
12,Kearney,Entres,78,kentresb@jimdo.com,2025/12/18,Pending,Platinum
13,Clarey,Brise,22,cbrisec@prlog.org,2017/09/16,Inactive,Platinum
14,Addy,Whitlaw,69,awhitlawd@xrea.com,2025/05/20,Pending,Silver
15,Essa,Henzley,38,ehenzleye@alexa.com,2021/01/06,Inactive,Gold
16,Issiah,Cleary,36,iclearyf@go.com,2025/04/19,Pending,Gold
17,Wat,Jagg,78,wjaggg@cdbaby.com,2021/02/16,Pending,Gold
18,Etienne,Minocchi,40,eminocchih@google.pl,2023/08/17,Inactive,Platinum
19,Theresa,Crippill,21,tcrippilli@sbwire.com,2024/01/06,Inactive,Gold
20,Georgine,Bach,36,gbachj@ask.com,2022/01/26,Pending,Platinum
21,Charil,Longmead,51,clongmeadk@discovery.com,2025/06/08,Active,Silver
22,Shanan,Sapseed,31,ssapseedl@paginegialle.it,2012/04/19,Inactive,Platinum
23,Suzann,Prinnett,61,sprinnettm@symantec.com,2019/01/12,Inactive,Silver
24,Papageno,Brunning,85,pbrunningn@wordpress.org,2025/01/20,Active,Platinum
25,Romy,Kirkpatrick,83,rkirkpatricko@apache.org,2010/07/28,Active,Silver
26,Alayne,Simper,85,asimperp@house.gov,2016/05/28,Inactive,Platinum
27,Johnathon,Betke,45,jbetkeq@weather.com,2018/04/17,Inactive,Gold
28,Ethelda,Rothwell,78,erothwellr@imageshack.us,2017/09/27,Active,Silver
29,Chancey,Rex,31,crexs@csmonitor.com,2014/03/28,Inactive,Gold
30,Annnora,Eouzan,56,aeouzant@gov.uk,2023/07/07,Pending,Silver
31,Marchall,Reimer,19,mreimeru@va.gov,2013/06/07,Active,Silver
32,Liuka,Reichelt,34,lreicheltv@china.com.cn,2021/10/13,Pending,Gold
33,Mildred,Melarkey,21,mmelarkeyw@shareasale.com,2018/12/20,Pending,Platinum
34,Vittoria,Oxenford,78,voxenfordx@topsy.com,2021/08/03,Active,Silver
35,Betsey,Pughsley,36,bpughsleyy@naver.com,2011/03/03,Active,Silver
36,Ange,Dutnell,34,adutnellz@biblegateway.com,2025/12/28,Inactive,Gold
37,Joyous,Robeiro,32,jrobeiro10@earthlink.net,2018/07/12,Pending,Platinum
38,Ulysses,Pickover,31,upickover11@com.com,2014/12/16,Pending,Gold
39,Hakeem,Rosettini,74,hrosettini12@theguardian.com,2022/03/02,Pending,Silver
40,Flem,Adair,18,fadair13@list-manage.com,2026/05/16,Inactive,Silver
41,Gardener,Fotherby,77,gfotherby14@vistaprint.com,2019/02/03,Pending,Platinum
42,Cordell,Lanceter,73,clanceter15@zdnet.com,2021/01/12,Inactive,Silver
43,Yevette,Bridywater,60,ybridywater16@live.com,2016/06/21,Pending,Silver
